scenario	human_gene_name	mouse_component	human_component	pharmacology_component	penalty_component	scenario_score	scenario_rank	top10	median_rank_all_scenarios	rank_range_all_scenarios	top10_frequency_all_scenarios
omit_mouse	COL1A2	0.0	17.702592250895666	11.5	14.0	15.202592250895666	24	False	20.0	13-42	0.0
omit_mouse	IGFBP3	0.0	9.700164786228802	5.406377223361061	0.0	15.106542009589862	25	False	39.0	15-77	0.0
omit_mouse	VCAN	0.0	12.490362809156908	2.3590800757292816	0.0	14.849442884886189	26	False	29.0	4-70	0.05263157894736842
omit_mouse	TNNC1	0.0	11.21007677752237	15.5	12.0	14.71007677752237	27	False	37.0	27-81	0.0
omit_mouse	ACTC1	0.0	15.93822436445517	10.5	12.0	14.43822436445517	28	False	25.0	20-46	0.0
omit_mouse	COL1A1	0.0	17.850843348253335	11.5	15.0	14.350843348253335	29	False	22.0	12-44	0.0
omit_mouse	CRYAB	0.0	15.023283821162615	10.0	12.0	13.023283821162615	30	False	32.0	24-49	0.0
omit_mouse	ACTB	0.0	14.497904961382762	10.5	12.0	12.997904961382762	31	False	24.0	17-31	0.0
omit_mouse	STK10	0.0	7.451709332195413	5.5	0.0	12.951709332195414	32	False	41.0	25-80	0.0
omit_mouse	EEF1A1	0.0	13.87244563850331	10.5	12.0	12.372445638503308	33	False	27.0	21-40	0.0
omit_mouse	ACTA1	0.0	14.568816265911257	9.768616573857674	12.0	12.33743283976893	34	False	36.0	29-50	0.0
omit_mouse	RPS19	0.0	12.223513278972364	12.094933055499755	12.0	12.318446334472121	35	False	31.0	23-57	0.0
omit_mouse	RPS12	0.0	12.337127663905807	11.5	12.0	11.837127663905807	36	False	33.0	25-51	0.0
omit_mouse	RPL13	0.0	12.127447864391174	11.542132103434056	12.0	11.669579967825229	37	False	34.0	27-58	0.0
omit_mouse	TPM1	0.0	14.631472785196948	9.0	12.0	11.631472785196948	38	False	40.0	34-66	0.0
omit_mouse	RPL13A	0.0	12.023355649844657	11.54878454081838	12.0	11.572140190663035	39	False	35.0	28-59	0.0
omit_mouse	NPPA	0.0	17.121553207727636	6.432515092347316	12.0	11.554068300074952	40	False	28.0	11-60	0.0
omit_mouse	TTN	0.0	12.646794657582872	10.5	12.0	11.146794657582873	41	False	45.0	39-73	0.0
omit_mouse	CCR2	0.0	0.810687524793558	20.0	10.0	10.810687524793558	42	False	54.0	20-95	0.0
omit_mouse	NELFB	0.0	9.599153166513767	3.031044707793515	2.0	10.630197874307282	43	False	60.0	29-83	0.0
omit_mouse	THBS4	0.0	11.749075475472202	2.6136912421525555	4.0	10.362766717624757	44	False	42.0	10-68	0.05263157894736842
omit_mouse	ACTG1	0.0	12.800326695385776	10.5	13.0	10.300326695385777	45	False	38.0	30-61	0.0
omit_mouse	CYRIA	0.0	9.831978226934167	0.0	0.0	9.831978226934167	46	False	68.0	16-94	0.0
omit_mouse	LDB3	0.0	12.653802299058448	9.0	12.0	9.653802299058448	47	False	57.0	43-74	0.0
omit_mouse	NR2F2	0.0	6.160607763568144	7.32903282806769	4.0	9.489640591635833	48	False	61.0	37-78	0.0
omit_mouse	SEPTIN7	0.0	6.018407513330097	3.2323917978489045	0.0	9.250799311179001	49	False	64.0	38-93	0.0
omit_mouse	SNX3	0.0	5.187695907707295	3.8914266094995007	0.0	9.079122517206795	50	False	56.0	26-90	0.0
omit_mouse	MYBPC3	0.0	13.309644958837541	7.5	12.0	8.809644958837541	51	False	50.0	42-68	0.0
omit_mouse	FLNC	0.0	11.726612774717704	9.0	12.0	8.726612774717704	52	False	49.0	41-67	0.0
omit_mouse	DES	0.0	13.219260379846258	7.5	12.0	8.719260379846258	53	False	43.0	35-62	0.0
omit_mouse	EMP1	0.0	6.852693510445908	1.5	0.0	8.352693510445908	54	False	47.0	12-85	0.0
omit_mouse	ANKRD1	0.0	15.395017672303869	4.569697831738097	12.0	7.9647155040419655	55	False	44.0	22-75	0.0
omit_mouse	DCN	0.0	10.422086219062658	1.5	4.0	7.922086219062658	56	False	52.0	13-76	0.0
omit_mouse	DMAP1	0.0	6.613317906387088	3.06208941558703	2.0	7.675407321974118	57	False	74.0	51-92	0.0
omit_mouse	TMSB4X	0.0	12.306359635633541	5.289444744397804	10.0	7.595804380031346	58	False	46.0	31-59	0.0
