candidate_gene	candidate_mouse_spatial_score	null_index	matched_mouse_gene	matched_mouse_spatial_score	detection_distance	effect_percentile_distance	seed
FN1	38.42100883309308	15	Gnai2	35.67376219812977	0.03808630910454025	0.03810049696300388	20260711
FN1	38.42100883309308	16	Ldhb	32.57175708309111	0.03952312318314366	0.012974736054643388	20260711
FN1	38.42100883309308	17	Ivns1abp	33.46911501387746	0.06916515486997088	0.027709129230292895	20260711
FN1	38.42100883309308	18	Aco2	33.55606734797849	0.0534364130766849	0.013750230432309163	20260711
FN1	38.42100883309308	19	Hspg2	36.138219248631046	0.016012733758547615	0.055438983986747625	20260711
FN1	38.42100883309308	20	mt-Nd4l	33.229074366248824	0.017867859147840504	0.015688966376473545	20260711
FN1	38.42100883309308	21	Ifitm3	36.06328791239864	0.01686283844286729	0.016896742131419118	20260711
FN1	38.42100883309308	22	Gja1	34.712321441509324	0.05409057518901905	0.023443910153131187	20260711
FN1	38.42100883309308	23	Ppib	37.326336950352044	0.028102031993082588	0.02219768083931528	20260711
FN1	38.42100883309308	24	Pcbp2	35.29818702315756	0.024210981409425014	0.05521811154058531	20260711
FN1	38.42100883309308	25	Cfl1	37.16901568659764	0.011036787672996318	0.005742683600220899	20260711
FN1	38.42100883309308	26	Selenop	37.88341103559989	0.09035884133160399	0.0017669795692987211	20260711
FN1	38.42100883309308	27	Oxct1	33.62093036868685	0.027298091200245067	0.059504398714589124	20260711
FN1	38.42100883309308	28	Pgam2	33.359065097202674	0.03613362835613532	0.02072967983130103	20260711
FN1	38.42100883309308	29	Fxyd1	34.394894861384785	0.008524985134331198	0.02538264609729557	20260711
FN1	38.42100883309308	30	Tuba1b	35.55709425257392	0.013117520090807355	0.030811706239646575	20260711
MYH7	37.141655837024786	1	Atp1a2	33.93169834975166	0.013872069177415014	0.028305544784800296	20260711
MYH7	37.141655837024786	2	Ptms	36.96738554970622	0.016976185734109972	0.02354274179441518	20260711
MYH7	37.141655837024786	3	Arhgdia	36.562528244527044	0.007992603279622923	0.011836502147811068	20260711
MYH7	37.141655837024786	4	Fabp5	37.15092690159473	0.01901157923542396	0.009146380237611385	20260711
MYH7	37.141655837024786	5	Timm13	33.384187256650264	0.00042100422461543996	0.02317873944123028	20260711
MYH7	37.141655837024786	6	Anxa2	37.14475626480875	0.027551488007046987	0.00786079811688889	20260711
MYH7	37.141655837024786	7	App	36.54391717012108	0.006496419035220247	0.05833015206498393	20260711
MYH7	37.141655837024786	8	Timp3	36.61222365917815	0.04408723855232832	0.027849754494580825	20260711
MYH7	37.141655837024786	9	Loxl1	37.8482414148572	0.01007333569743396	0.0027807318551551496	20260711
MYH7	37.141655837024786	10	Jup	34.668774095890385	0.0025900056285586004	0.05350911205893749	20260711
