human_gene_name	primary_state	mouse_spatial_score	human_support_score	pharmacology_score	repair_safety_penalty	final_priority_score	priority_tier	best_drug_name	best_drug_action	direction_match	best_pair_source_count
IGFBP7	immune_fibrotic_adverse	37.830678240975146	13.82823358850675	2.8069353040487472	0.0	54.46584713353064	tier_b		unknown	unknown	0
COL1A2	scar_repair_associated	38.38607758448872	17.702592250895666	11.5	14.0	53.588669835384394	caution_protective	OCRIPLASMIN	unknown	unknown	1
TGFB1	immune_fibrotic_adverse	35.12623295523657	7.304502126233318	25.01240803954329	14.0	53.44314312101318	caution_protective	FRESOLIMUMAB	inhibit	matched	3
COL1A1	scar_repair_associated	38.43757856171216	17.850843348253335	11.5	15.0	52.78842190996549	caution_protective	OCRIPLASMIN	unknown	unknown	1
LY6E	immune_fibrotic_adverse	35.32799135935423	6.465482680695467	10.880861287342231	0.0	52.67433532739193	tier_b	RG-7841	unknown	unknown	3
ACTB	scar_repair_associated	39.10567123443498	14.497904961382762	10.5	12.0	52.10357619581774	caution_protective	ENVIRONMENTAL ESTROGEN	unknown	unknown	1
ACTC1	mechanical_adverse	36.37650537938125	15.93822436445517	10.5	12.0	50.81472974383642	caution_protective	THERAPEUTIC GLUCOCORTICOID	unknown	unknown	1
TGM2	mechanical_adverse	35.355903759158416	9.19366322876041	6.143194604301974	0.0	50.6927615922208	tier_b	ERW1041E	inhibit	matched	1
EEF1A1	scar_repair_associated	38.10046553330683	13.87244563850331	10.5	12.0	50.47291117181014	caution_protective	SPARSOMYCIN	unknown	unknown	1
NPPA	mechanical_adverse	38.80541503902978	17.121553207727636	6.432515092347316	12.0	50.359483339104735	caution_protective	IV FLUID	unknown	unknown	1
VCAN	immune_fibrotic_adverse	35.20374769348478	12.490362809156908	2.3590800757292816	0.0	50.053190578370966	tier_b	CYCLOSPORINE	unknown	unknown	1
ITGA1	immune_fibrotic_adverse	32.96101071902872	6.727289782040006	10.225260375235123	0.0	49.91356087630385	tier_b	SAN-300	unknown	unknown	1
RPS19	scar_repair_associated	37.57389850068292	12.223513278972364	12.094933055499755	12.0	49.89234483515504	caution_protective	ELX-02	unknown	unknown	2
CRYAB	mechanical_adverse	36.75006911126382	15.023283821162616	10.0	12.0	49.773352932426434	caution_protective		unknown	unknown	0
RPS12	scar_repair_associated	37.88715533242373	12.337127663905807	11.5	12.0	49.724282996329535	caution_protective	ELX-02	unknown	unknown	2
